kaisai_tsukihi,keibajo_code,race_bango,recommendation,top1_deviation,top5_predicted,top3_actual,hit_count,is_hit
1105,30,7,★★★★★,74.7,"2,5,1,3,7","5,2,6",2,×
1105,30,8,★★★★☆,69.7,"2,1,8,11,9","12,2,4",1,×
1105,30,10,★★★★★,73.7,"11,12,5,7,9","11,12,7",3,○
1105,30,11,★★★★☆,68.6,"8,9,6,11,4","3,8,5",1,×
1105,30,12,★★★★★,73.2,"6,7,10,3,9","9,10,6",3,○
1105,43,1,★★★★☆,66.6,"11,1,10,6,5","6,10,9",2,×
1105,43,2,★★★★★,76.9,"5,10,6,4,2","5,6,10",3,○
1105,43,3,★★★★★,73.2,"2,1,5,6,8","5,9,11",1,×
1105,43,4,★★★★★,74.9,"3,5,6,11,1","3,6,5",3,○
1105,43,5,★★★★★,76.0,"2,12,3,11,8","12,3,2",3,○
1105,43,6,★★★★★,71.1,"7,11,10,4,6","7,1,2",1,×
1105,43,8,★★★★★,76.9,"10,4,5,9,7","10,7,4",3,○
1105,43,9,★★★★★,72.2,"3,7,6,5,9","7,3,6",3,○
1105,43,11,★★★★☆,68.9,"2,6,7,9,5","2,4,7",2,×
1105,43,12,★★★★☆,66.2,"9,8,5,3,1","8,3,9",3,○
1105,46,1,★★★★★,76.0,"8,3,5,11,6","8,1,9",1,×
1105,46,2,★★★★☆,66.6,"1,7,2,3,5","1,3,2",3,○
1105,46,3,★★★★☆,66.2,"8,7,1,3,4","1,3,8",3,○
1105,46,4,★★★★☆,68.2,"4,5,1,7,3","4,1,5",3,○
1105,46,5,★★★★☆,65.8,"8,1,2,7,3","8,2,1",3,○
1105,46,6,★★★★★,70.0,"4,8,2,6,7","4,1,3",1,×
1105,46,8,★★★★☆,69.6,"4,3,7,5,8","4,3,7",3,○
1105,46,9,★★★★☆,67.8,"3,2,11,10,9","1,11,7",1,×
1105,46,10,★★★★☆,68.7,"9,3,7,6,8","3,7,1",2,×
1105,46,11,★★★★☆,66.8,"2,5,4,10,7","10,2,3",2,×
1105,47,1,★★★★☆,65.1,"4,8,9,6,1","4,2,11",1,×
1105,47,2,★★★★☆,66.9,"1,3,8,2,4","4,1,8",3,○
1105,47,3,★★★★☆,66.4,"8,3,6,9,10","3,8,5",2,×
1105,47,4,★★★★★,73.4,"12,10,6,3,2","12,3,10",3,○
1105,47,5,★★★★★,71.7,"3,4,7,10,9","3,8,4",2,×
1105,47,6,★★★★★,77.0,"1,7,8,3,2","1,4,3",2,×
1105,47,7,★★★★★,71.6,"9,6,5,12,3","10,5,9",2,×
1105,47,8,★★★★★,76.4,"7,2,8,4,6","8,7,1",2,×
1105,47,9,★★★★☆,69.7,"7,2,6,1,3","7,2,1",3,○
1105,47,10,★★★★★,70.1,"2,7,8,1,3","7,1,8",3,○
1105,47,12,★★★★☆,67.1,"4,7,3,8,9","7,3,4",3,○
1105,50,1,★★★★★,75.0,"5,7,6,8,1","5,4,8",2,×
1105,50,2,★★★★☆,68.7,"7,3,8,5,10","7,9,6",1,×
1105,50,4,★★★★★,73.3,"10,5,9,6,2","10,9,7",2,×
1105,50,5,★★★★★,74.6,"4,5,12,7,9","4,12,5",3,○
1105,50,6,★★★★☆,69.9,"7,12,3,10,8","7,12,10",3,○
1105,50,7,★★★★★,77.1,"9,6,4,7,5","10,9,5",2,×
1105,50,8,★★★★☆,68.0,"5,8,1,7,6","6,7,9",2,×
1105,50,9,★★★★☆,68.5,"8,10,2,6,4","8,4,10",3,○
1105,50,10,★★★★☆,65.6,"6,2,7,11,5","8,7,6",2,×
1105,50,12,★★★★☆,68.6,"11,5,1,12,9","5,11,12",3,○
1106,30,2,★★★★☆,69.8,"10,5,3,4,11","10,5,3",3,○
1106,30,3,★★★★★,76.1,"9,10,3,7,6","9,10,8",2,×
