kaisai_tsukihi,keibajo_code,race_bango,top3_hit_count,top5_hit_count,top3_predicted,top3_actual,top5_predicted,top5_actual
1105,30,1,1,4,"9,10,1","9,4,8","9,10,1,7,4","9,4,8,7,10"
1105,30,2,2,3,"9,7,10","9,4,7","9,7,10,5,4","9,4,7,3,12"
1105,30,3,1,4,"6,9,1","6,7,3","6,9,1,11,7","6,7,3,9,11"
1105,30,4,2,3,"4,6,7","6,4,1","4,6,7,9,8","6,4,1,2,7"
1105,30,5,2,4,"6,9,3","6,8,9","6,9,3,8,5","6,8,9,3,4"
1105,30,6,2,4,"1,3,6","6,5,1","1,3,6,5,7","6,5,1,2,7"
1105,30,7,1,3,"2,8,7","5,2,6","2,8,7,3,5","5,2,6,7,4"
1105,30,8,1,3,"2,8,1","12,2,4","2,8,1,11,9","12,2,4,8,1"
1105,30,9,0,3,"6,2,10","11,7,3","6,2,10,3,8","11,7,3,8,2"
1105,30,10,2,5,"11,12,5","11,12,7","11,12,5,9,7","11,12,7,9,5"
1105,30,11,1,3,"9,8,11","3,8,5","9,8,11,4,3","3,8,5,11,7"
1105,30,12,2,3,"6,3,10","9,10,6","6,3,10,7,2","9,10,6,8,3"
1105,43,1,1,3,"11,1,6","6,10,9","11,1,6,7,3","6,10,9,11,1"
1105,43,2,2,4,"5,1,10","5,6,10","5,1,10,4,6","5,6,10,2,4"
1105,43,3,1,3,"5,1,2","5,9,11","5,1,2,6,7","5,9,11,2,6"
1105,43,4,2,4,"11,3,5","3,6,5","11,3,5,2,6","3,6,5,11,1"
1105,43,5,3,5,"2,12,3","12,3,2","2,12,3,8,11","12,3,2,11,8"
1105,43,6,1,3,"11,7,4","7,1,2","11,7,4,12,6","7,1,2,11,6"
1105,43,7,1,3,"7,6,12","11,12,2","7,6,12,11,2","11,12,2,8,9"
1105,43,8,3,3,"10,4,7","10,7,4","10,4,7,2,5","10,7,4,1,9"
1105,43,9,3,3,"7,6,3","7,3,6","7,6,3,5,9","7,3,6,1,4"
1105,43,10,0,3,"12,2,1","8,3,5","12,2,1,3,8","8,3,5,2,9"
1105,43,11,2,2,"2,6,7","2,4,7","2,6,7,9,3","2,4,7,1,5"
1105,43,12,2,3,"8,5,3","8,3,9","8,5,3,1,9","8,3,9,11,6"
1105,46,1,1,3,"8,3,2","8,1,9","8,3,2,11,6","8,1,9,3,6"
1105,46,2,3,4,"2,3,1","1,3,2","2,3,1,5,7","1,3,2,5,4"
1105,46,3,1,4,"1,6,7","1,3,8","1,6,7,8,9","1,3,8,6,9"
1105,46,4,2,3,"4,7,5","4,1,5","4,7,5,1,8","4,1,5,3,2"
1105,46,5,2,4,"1,8,6","8,2,1","1,8,6,2,3","8,2,1,6,4"
1105,46,6,1,2,"4,8,6","4,1,3","4,8,6,2,7","4,1,3,5,6"
1105,46,7,3,5,"2,4,1","2,4,1","2,4,1,5,6","2,4,1,6,5"
1105,46,8,2,3,"4,3,5","4,3,7","4,3,5,7,8","4,3,7,6,2"
1105,46,9,1,2,"9,2,1","1,11,7","9,2,1,11,5","1,11,7,10,3"
1105,46,10,2,3,"3,7,6","3,7,1","3,7,6,9,10","3,7,1,10,2"
1105,46,11,2,4,"2,10,7","10,2,3","2,10,7,5,4","10,2,3,7,4"
1105,47,1,0,1,"8,6,9","4,2,11","8,6,9,1,12","4,2,11,8,10"
