date,race_id,pred_top3,pred_top5,actual_top3,actual_top5,pred_pwin_top5
20250104,2025_0104_45_12,5|6|1,5|6|1|2|10,5,5|6|2,0.192001|0.108618|0.105601|0.097478|0.080886
20250104,2025_0104_48_01,1|3|4,1|3|4|5|7,1|4,1|4|3,0.150934|0.150934|0.150934|0.150934|0.150934
20250104,2025_0104_48_02,1|11|6,1|11|6|3|10,11|1,11|1,0.362964|0.075096|0.065994|0.062222|0.061425
20250104,2025_0104_48_03,10|8|7,10|8|7|4|5,7,7|8,0.376650|0.102723|0.079295|0.077546|0.077261
20250104,2025_0104_48_04,5|1|7,5|1|7|2|9,1|7,1|7|5,0.162182|0.139013|0.116771|0.114481|0.101364
20250104,2025_0104_48_05,2|3|9,2|3|9|5|4,2|9,2|9|3,0.184949|0.173389|0.119322|0.106701|0.082990
20250104,2025_0104_48_06,1|6|7,1|6|7|10|2,1|6,1|6|7,0.165859|0.149525|0.134267|0.113432|0.100700
20250104,2025_0104_48_07,3|8|5,3|8|5|6|2,3|8,3|8|6,0.179694|0.149745|0.115518|0.112309|0.109570
20250104,2025_0104_48_08,8|6|7,8|6|7|10|9,8|7,8|7|10,0.268173|0.090766|0.086494|0.086128|0.084767
20250104,2025_0104_48_09,6|7|8,6|7|8|1|2,6|8,6|8|7,0.158498|0.138686|0.136413|0.131387|0.125013
20250104,2025_0104_48_10,4|2|10,4|2|10|5|8,4|8,4|8|10,0.127442|0.115182|0.109236|0.094699|0.088594
20250104,2025_0104_48_11,1|7|6,1|7|6|12|9,6|9,6|9|7,0.248596|0.119694|0.095614|0.077686|0.076946
20250104,2025_0104_48_12,9|7|3,9|7|3|11|1,9,9|3,0.144530|0.139868|0.112192|0.105387|0.087594
20250104,2025_0104_50_01,12|11|6,12|11|6|10|9,6|12,6|12|9,0.101500|0.099933|0.097909|0.097303|0.090858
20250104,2025_0104_50_02,5|9|4,5|9|4|10|1,4|10,4|10|5|9,0.147511|0.113820|0.106671|0.105365|0.103345
20250104,2025_0104_50_03,4|12|5,4|12|5|1|7,4|5,4|5|12|1,0.223207|0.146099|0.092717|0.077762|0.072319
20250104,2025_0104_50_04,4|1|9,4|1|9|3|11,4,4|11|3,0.108391|0.105714|0.096104|0.095143|0.091945
20250104,2025_0104_50_05,4|1|7,4|1|7|2|3,1|4,1|4|3|2,0.179603|0.127718|0.116612|0.113168|0.108148
20250104,2025_0104_50_06,7|6|3,7|6|3|1|10,6|1|7,6|1|7|3,0.174610|0.124241|0.108036|0.105911|0.097535
