ketto_toroku_bango,bamei
1997101557,ガリョウテンセイ　　　　　　　　　　
1997101615,オイワケダイモン　　　　　　　　　　
1997101623,カルストンアイ　　　　　　　　　　　
1997101661,スティングラリー　　　　　　　　　　
1997101688,カネショウローレル　　　　　　　　　
1997101735,マルゴミラン　　　　　　　　　　　　
1997101738,ハクリュウヒット　　　　　　　　　　
1997101767,ルーシー　　　　　　　　　　　　　　
1997101803,ドラゴンキング　　　　　　　　　　　
1997101818,ミタカスマイル　　　　　　　　　　　
1997101821,スズトップクイン　　　　　　　　　　
1997101822,シュウカクラウン　　　　　　　　　　
1997101824,レッツゴーフジ　　　　　　　　　　　
1997101828,スズノミスティ　　　　　　　　　　　
1997101833,ラブリーダハール　　　　　　　　　　
1997101898,シュンエイゼネラル　　　　　　　　　
1997101918,カネサイテリオス　　　　　　　　　　
1997101950,レジェンドハンター　　　　　　　　　
1997101962,アンバーラビット　　　　　　　　　　
1997102073,ゼンノスラヴィック　　　　　　　　　
1997102123,ダイワメイン　　　　　　　　　　　　
1997102149,シルクパイロット　　　　　　　　　　
1997102151,カミスドリーム　　　　　　　　　　　
1997102158,タイキクール　　　　　　　　　　　　
1997102178,ハイパータッチ　　　　　　　　　　　
1997102195,プラウドスペシャル　　　　　　　　　
1997102211,ブンブクマーチャン　　　　　　　　　
1997102214,ロイヤルムービー　　　　　　　　　　
1997102226,アサヒミネルバ　　　　　　　　　　　
1997102255,シメニオペラ　　　　　　　　　　　　
1997102274,スマコバフレンド　　　　　　　　　　
1997102280,サクラデインヒル　　　　　　　　　　
1997102283,サクラゲイル　　　　　　　　　　　　
1997102304,ミサトレイソル　　　　　　　　　　　
1997102353,ハンサムボーイ　　　　　　　　　　　
1997102354,トーホウコンドル　　　　　　　　　　
1997102356,オーバーロード　　　　　　　　　　　
1997102362,シャドウランサー　　　　　　　　　　
1997102382,ウィザードボーイ　　　　　　　　　　
1997102391,ヒシジョーカー　　　　　　　　　　　
1997102434,ミルキーサイファ　　　　　　　　　　
1997102442,ショウリノスター　　　　　　　　　　
1997102477,マルタカウィナー　　　　　　　　　　
1997102515,テイエムハンター　　　　　　　　　　
1997102612,バトルタミーノ　　　　　　　　　　　
1997102693,キャプテンバトラー　　　　　　　　　
1997102713,ウエスタンアキラ　　　　　　　　　　
1997102729,ホクトバロン　　　　　　　　　　　　
1997102740,シャインフラッグ　　　　　　　　　　
1997102743,ホクトプリウス　　　　　　　　　　　
1997102745,ホクトシャーロック　　　　　　　　　
1997102810,ダイユウホリスキー　　　　　　　　　
1997102822,ナリタダイドウ　　　　　　　　　　　
1997102829,シルクジャッカル　　　　　　　　　　
1997102866,キングサンバ　　　　　　　　　　　　
1997102884,パワフルヒッター　　　　　　　　　　
1997102914,ヤマニンデューク　　　　　　　　　　
1997102967,ハクシュカッサイ　　　　　　　　　　
1997103027,ノーザンダンディ　　　　　　　　　　
1997103066,トニービーバー　　　　　　　　　　　
1997103077,オートキング　　　　　　　　　　　　
1997103107,オクノレディー　　　　　　　　　　　
1997103136,ブランニューカラー　　　　　　　　　
1997103171,グリーンクリスタル　　　　　　　　　
1997103204,カワギシボーイ　　　　　　　　　　　
1997103212,サマーストリーム　　　　　　　　　　
1997103264,ファイブビーンズ　　　　　　　　　　
1997103270,ブラックベス　　　　　　　　　　　　
1997103310,タガジョーアイレン　　　　　　　　　
1997103317,トップナンバー　　　　　　　　　　　
1997103363,カツメイト　　　　　　　　　　　　　
1997103367,サバイバルバトル　　　　　　　　　　
1997103385,アトン　　　　　　　　　　　　　　　
1997103392,ノーブルレース　　　　　　　　　　　
1997103405,コナサンセット　　　　　　　　　　　
1997103470,タケル　　　　　　　　　　　　　　　
1997103472,ヨシジエンペラー　　　　　　　　　　
1997103562,ラスベガスツアー　　　　　　　　　　
1997103627,カシマハヤト　　　　　　　　　　　　
1997103646,パーシステントガイ　　　　　　　　　
1997103741,オーミヤボレロ　　　　　　　　　　　
